,country,continent,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active
0,Australia,Australia,2020-04-10 09:52:40,-25.0,133.0,6204,54,1472,4678
1,Austria,Europe,2020-04-10 09:45:32,47.5162,14.5501,13377,319,6064,6994
2,Canada,North America,2020-04-10 09:52:23,60.00100000000001,-95.001,20765,510,5311,14944
3,China,Asia,2020-04-10 01:51:07,30.5928,114.3055,82924,3340,77758,1826
4,Denmark,Europe,2020-04-10 09:45:32,56.0,10.0,5830,237,1892,3701
5,Finland,Europe,2020-04-10 09:45:32,61.9241,25.7482,2605,42,300,2263
6,France,Europe,2020-04-10 09:45:32,46.2276,2.2137,118785,12228,23441,83116
7,Germany,Europe,2020-04-10 09:45:32,51.1657,10.4515,118235,2607,52407,63221
8,Iceland,Europe,2020-04-10 09:45:32,64.9631,-19.0208,1648,6,688,954
9,Ireland,Europe,2020-04-10 09:45:32,53.1424,-7.6921,6574,263,25,6286
10,Italy,Europe,2020-04-10 09:45:32,41.8719,12.5674,143626,18279,28470,96877
11,Netherlands,Europe,2020-04-10 09:45:32,52.3167,5.55,21910,2405,280,19225
12,Norway,Europe,2020-04-10 09:45:32,60.472,8.4689,6219,108,32,6079
13,Russia,Europe,2020-04-10 09:45:32,61.524,105.3188,11917,94,795,11028
14,Sweden,Europe,2020-04-10 09:45:32,60.1282,18.6435,9141,793,205,8143
15,Switzerland,Europe,2020-04-10 09:45:32,46.8182,8.2275,24172,958,10600,12614
16,United Kingdom,Europe,2020-04-10 09:45:32,55.0,-3.0,65872,7993,359,57520
17,USA,North America,2020-04-10 09:45:51,40.0,-100.0,466299,16686,26522,423091
18,Afghanistan,Asia,2020-04-10 09:45:32,33.93911,67.709953,521,15,32,474
19,Albania,Europe,2020-04-10 09:45:32,41.1533,20.1683,416,23,182,211
20,Algeria,Africa,2020-04-10 09:45:32,28.0339,1.6596,1666,235,347,1084
21,Andorra,Europe,2020-04-10 09:45:32,42.5063,1.5218,583,25,58,500
22,Angola,Africa,2020-04-10 09:45:32,-11.2027,17.8739,19,2,2,15
23,Antigua and Barbuda,North America,2020-04-10 09:45:32,17.0608,-61.7964,19,2,0,17
24,Argentina,South America,2020-04-10 09:45:32,-38.4161,-63.6167,1894,79,365,1450
25,Armenia,Asia,2020-04-10 09:45:32,40.0691,45.0382,937,11,149,777
26,Azerbaijan,Asia,2020-04-10 09:45:32,40.1431,47.5769,926,9,101,816
27,Bahamas,North America,2020-04-10 09:45:32,25.025885,-78.035889,41,8,5,28
28,Bahrain,Asia,2020-04-10 09:45:32,26.0275,50.55,887,5,519,363
29,Bangladesh,Asia,2020-04-10 09:45:32,23.685,90.3563,424,27,33,364
30,Barbados,North America,2020-04-10 09:45:32,13.1939,-59.5432,66,3,11,52
31,Belarus,Europe,2020-04-10 09:45:32,53.7098,27.9534,1486,16,139,1331
32,Belgium,Europe,2020-04-10 09:45:32,50.8333,4.469936,26667,3019,5568,18080
33,Belize,North America,2020-04-10 09:45:32,17.1899,-88.4976,9,1,0,8
34,Benin,Africa,2020-04-10 09:45:32,9.3077,2.3158,26,1,5,20
35,Bhutan,Asia,2020-04-10 09:45:32,27.5142,90.4336,5,0,2,3
36,Bolivia,South America,2020-04-10 09:45:32,-16.2902,-63.5887,268,19,2,247
37,Bosnia and Herzegovina,Europe,2020-04-10 09:45:32,43.9159,17.6791,875,35,118,722
38,Botswana,Africa,2020-04-10 09:45:32,-22.3285,24.6849,13,1,0,12
39,Brazil,South America,2020-04-10 09:45:32,-14.235,-51.9253,18176,957,173,17046
40,Brunei,Asia,2020-04-10 09:45:32,4.5353,114.7277,136,1,99,36
41,Bulgaria,Europe,2020-04-10 09:45:32,42.7339,25.4858,624,24,54,546
42,Burkina Faso,Africa,2020-04-10 09:45:32,12.2383,-1.5616,443,24,146,273
43,Burma,Others,2020-04-10 09:45:32,21.9162,95.956,27,3,2,22
44,Burundi,Africa,2020-04-10 09:45:32,-3.3731,29.9189,3,0,0,3
45,Cabo Verde,Africa,2020-04-10 09:45:32,16.5388,-23.0418,7,1,1,5
46,Cambodia,Asia,2020-04-10 09:45:32,11.55,104.9167,119,0,72,47
47,Cameroon,Africa,2020-04-10 09:45:32,3.8480000000000003,11.5021,803,12,61,730
48,Central African Republic,Africa,2020-04-10 09:45:32,6.6111,20.9394,8,0,0,8
49,Chad,Africa,2020-04-10 09:45:32,15.4542,18.7322,11,0,2,9
50,Chile,South America,2020-04-10 09:45:32,-35.6751,-71.543,5972,57,1274,4641
51,Colombia,South America,2020-04-10 09:45:32,4.5709,-74.2973,2223,69,174,1980
52,Republic of the Congo,Africa,2020-04-10 09:45:32,-4.2634,15.2832,60,5,5,50
53,Democratic Republic of the Congo,Africa,2020-04-10 09:45:32,-4.322447,15.307045,215,20,13,182
54,Costa Rica,North America,2020-04-10 09:45:32,9.7489,-83.7534,539,3,30,506
55,Côte d'Ivoire,Africa,2020-04-10 09:45:32,7.54,-5.5471,444,3,52,389
56,Croatia,Europe,2020-04-10 09:45:32,45.1,15.2,1407,20,219,1168
57,Cuba,North America,2020-04-10 09:45:32,21.521757,-77.78116700000002,515,15,28,472
58,Cyprus,Asia,2020-04-10 09:45:32,35.1264,33.4299,564,10,53,501
59,Czechia,Europe,2020-04-10 09:45:32,49.8175,15.472999999999999,5589,113,309,5167
60,Diamond Princess,Others,2020-04-10 09:45:32,,,712,11,619,82
61,Djibouti,Africa,2020-04-10 09:45:32,11.8251,42.5903,140,1,28,111
62,Dominica,North America,2020-04-10 09:45:32,15.415,-61.371,16,0,5,11
63,Dominican Republic,North America,2020-04-10 09:45:32,18.7357,-70.1627,2349,118,80,2151
64,Ecuador,South America,2020-04-10 09:45:32,-1.8312,-78.1834,4965,272,339,4354
65,Egypt,Africa,2020-04-10 09:45:32,26.820553000000004,30.802497999999996,1699,118,348,1233
66,El Salvador,North America,2020-04-10 09:45:32,13.7942,-88.8965,117,6,15,96
67,Equatorial Guinea,Africa,2020-04-10 09:45:32,1.6508,10.2679,18,0,3,15
68,Eritrea,Africa,2020-04-10 09:45:32,15.1794,39.7823,33,0,0,33
69,Estonia,Europe,2020-04-10 09:45:32,58.5953,25.0136,1258,24,93,1141
70,Eswatini,Africa,2020-04-10 09:45:32,-26.5225,31.4659,12,0,7,5
71,Ethiopia,Africa,2020-04-10 09:45:32,9.145,40.4897,56,2,4,50
72,Fiji,Australia,2020-04-10 09:45:32,-17.7134,178.065,16,0,0,16
73,Gabon,Africa,2020-04-10 09:45:32,-0.8037,11.6094,44,1,1,42
74,Gambia,Africa,2020-04-10 09:45:32,13.4432,-15.3101,4,1,2,1
75,Georgia,Asia,2020-04-10 09:45:32,42.3154,43.3569,230,3,52,175
76,Ghana,Africa,2020-04-10 09:45:32,7.9465,-1.0232,378,6,3,369
77,Greece,Europe,2020-04-10 09:45:32,39.0742,21.8243,1955,87,269,1599
78,Grenada,North America,2020-04-10 09:45:32,12.1165,-61.678999999999995,12,0,0,12
79,Guatemala,North America,2020-04-10 09:45:32,15.7835,-90.2308,126,3,17,106
80,Guinea,Africa,2020-04-10 09:45:32,9.9456,-9.6966,194,0,11,183
